metadata,Category
host_scientific_name_Gila robusta,collection infomation
host_scientific_name_Globicephala macrorhynchus,collection infomation
host_scientific_name_Glossophaga soricina,collection infomation
host_scientific_name_Hexapoda,collection infomation
host_scientific_name_Homo sapiens,collection infomation
host_scientific_name_Ictalurus punctatus,collection infomation
host_scientific_name_Iguana,collection infomation
host_scientific_name_Iguana iguana,collection infomation
host_scientific_name_Lagenorhynchus acutus,collection infomation
host_scientific_name_Lauxaniidae,collection infomation
host_scientific_name_Macropus sp.,collection infomation
host_scientific_name_Melursus ursinus,collection infomation
host_scientific_name_Molossus sinaloae,collection infomation
host_scientific_name_Montastraea annularis,collection infomation
host_scientific_name_Myotis elegans,collection infomation
host_scientific_name_Myrmecophaga tridactyla,collection infomation
host_scientific_name_Mytilus californianus,collection infomation
host_scientific_name_Nasalis larvatus,collection infomation
host_scientific_name_Orycteropus afer,collection infomation
host_scientific_name_Oryctolagus cuniculus,collection infomation
host_scientific_name_Oryza sativa,collection infomation
host_scientific_name_Otus scops,collection infomation
host_scientific_name_Parus major,collection infomation
host_scientific_name_Passer montanus,collection infomation
host_scientific_name_Pemphiginae,collection infomation
host_scientific_name_Pentalonia nigronervosa,collection infomation
host_scientific_name_Phaeophyceae,collection infomation
host_scientific_name_Phoca vitulina,collection infomation
host_scientific_name_Phyllospora comosa,collection infomation
host_scientific_name_Pica pica,collection infomation
host_scientific_name_Platycichla flavipes,collection infomation
host_scientific_name_Pocillopora verrucosa,collection infomation
host_scientific_name_Porites,collection infomation
host_scientific_name_Proteles cristatus,collection infomation
host_scientific_name_Pteronotus davyi,collection infomation
host_scientific_name_Pteronotus parnellii,collection infomation
host_scientific_name_Pygathrix nemaeus,collection infomation
host_scientific_name_Ramphocelus carbo,collection infomation
host_scientific_name_Rana catesbeiana,collection infomation
host_scientific_name_Rattus norvegicus,collection infomation
host_scientific_name_Rhinopithecus brelichi,collection infomation
host_scientific_name_Rhinopithecus roxellana,collection infomation
host_scientific_name_Rhodophyta,collection infomation
host_scientific_name_Rusa unicolor,collection infomation
host_scientific_name_Saltator maximus,collection infomation
host_scientific_name_Siphonaptera,collection infomation
host_scientific_name_Stenella attenuata,collection infomation
host_scientific_name_Syncerus caffer caffer,collection infomation
host_scientific_name_Thraupis,collection infomation
host_scientific_name_Thraupis palmarum,collection infomation
host_scientific_name_Trachypithecus auratus,collection infomation
host_scientific_name_Turdus merula,collection infomation
