other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Heliobacteriaceae,2.127061024318786e-11,1.5452954912295042e-12,0.003907400107554067,272.41379310344826
unclassified_Bacillaceae,2.127061024318786e-11,2.5449216637075053e-09,0.003907400107554067,272.41379310344826
unclassified_Halomonadaceae,2.7580395940359e-11,9.973186779786046e-08,0.0019736355936940298,206.89655172413794
unclassified_Methanomicrobiales,3.581953675480197e-11,0.0024371375104659007,0.00586163601496126,179.31034482758622
Weight_perception.option,4.063295012846474e-11,1.800374737655412e-08,0.010625599629969777,244.82758620689654
unclassified_Prolixibacter,5.368823822692063e-11,1.1325626228798217e-08,0.0008369647437583107,155.17241379310346
Methanosphaera,6.26916317325345e-11,1.2825405356675738e-07,0.07020875362557148,68.96551724137932
unclassified_Peptococcaceae,7.244316092507666e-11,2.2199804403241677e-12,0.003907400107554067,289.6551724137931
unclassified_Beutenbergiaceae,9.820455250550382e-11,0.0001772269333516179,0.012497213313716069,134.48275862068965
unclassified_Waddliaceae,4.292441286171238e-10,0.00033227123023431114,0.004113612064043169,175.86206896551724
unclassified_Puniceicoccaceae,4.292441286171238e-10,2.121635044362239e-08,0.05508200663759827,175.86206896551724
unclassified_Desulfomicrobiaceae,9.83879171897502e-10,1.1238723358004705e-08,0.06669291624714725,217.24137931034483
unclassified_Geminicoccus,1.0437483605880396e-09,0.00011388324850941707,0.0020095015088913686,65.51724137931035
unclassified_Moraxellaceae,1.4373088072079012e-09,0.002786870914255013,0.0035300606888284277,86.20689655172413
unclassified_Incertae,1.4576695465649028e-09,2.9085009215966616e-11,0.003907400107554067,337.9310344827586
Collinsella,1.936205432303395e-09,3.2837904269094576e-06,0.0008369647437583107,193.10344827586206
Smoking_with_inhalation:Neen,1.936205432303395e-09,2.1681452280265572e-06,0.01626356070251737,193.10344827586206
Enterorhabdus,2.238900278484491e-09,1.8927796273873796e-10,0.0028281841307568043,303.44827586206895
unclassified_Syntrophomonadaceae,2.492776396022059e-09,0.005887760618795841,0.011764417492986227,165.51724137931035
unclassified_Oxalobacteraceae,6.446602830218469e-09,1.3587056118122566e-11,0.003907400107554067,365.51724137931035
unclassified_Gracilibacteraceae,1.0865250936030082e-08,4.574570446026158e-13,0.003907400107554067,375.86206896551727
Methanobrevibacter,1.7993155792060285e-08,8.670286331386348e-13,0.003907400107554067,386.2068965517241
unclassified_Clostridiaceae,2.1208389813898384e-08,4.396812482625601e-12,0.003907400107554067,389.6551724137931
Mogibacterium,3.136805587632841e-08,2.2684238539372934e-06,0.004113612064043169,231.0344827586207
unclassified_Thermoanaerobacteraceae,5.481649405226021e-08,1.486698158403139e-09,0.003907400107554067,410.3448275862069
unclassified_Conexibacteraceae,7.071079584895096e-08,3.669381498322279e-05,0.0035300606888284277,117.24137931034481
unclassified_Planococcaceae,1.6273365627073976e-07,7.029812564317e-09,0.012497213313716069,220.68965517241378
Acetitomaculum,2.14243564976066e-07,0.003577219770738224,0.7046739327951879,41.37931034482759
unclassified_Oleiphilaceae,2.639664011906037e-07,0.0018907941133220764,0.2001291921475553,131.0344827586207
unclassified_Rickettsiaceae,3.0397510452893266e-07,2.0045477897683494e-08,0.02201350159466713,310.3448275862069
unclassified_Coriobacteriaceae,3.1551963985099883e-07,1.0857994163154795e-09,0.0019736355936940298,355.1724137931035
unclassified_Opitutaceae,3.5188485779120986e-07,0.04014823203005958,0.7886491522534455,82.75862068965517
unclassified_Clostridiales,4.6164464629145293e-07,8.34725005322644e-12,0.003907400107554067,462.0689655172414
unclassified_Syntrophorhabdaceae,4.887985213895397e-07,5.026897996895658e-07,0.42536620945246073,110.34482758620689
Cloacibacillus,6.347350456208259e-07,0.0001357077901477442,0.749375626445449,65.51724137931035
unclassified_Porphyromonadaceae,5.2868924276097425e-06,1.4874562044256403e-06,0.02125235082960527,375.86206896551727
unclassified_Ruminococcaceae,5.711191553135311e-06,7.772090757587998e-13,0.003907400107554067,534.4827586206897
unclassified_Victivallaceae,6.033403716622387e-06,3.3950900437263334e-08,0.0013189715239915745,379.3103448275862
Herbaspirillum,1.4315886522054438e-05,4.365261123246129e-06,0.11066022942375132,93.10344827586206
Breakfast_.N_past_week.,1.569026127271737e-05,6.523646972841052e-05,0.06897722387460764,189.6551724137931
